Diode Vf-If,,,,,,
VF=,0,to,-100,in,-0.5,step
67,-33,-5.27E-08,,,,
68,-33.5,-5.27E-08,,,,
69,-34,-5.51E-08,,,,
70,-34.5,-5.68E-08,,,,
71,-35,-6.06E-08,,,,
72,-35.5,-6.37E-08,,,,
73,-36,-6.51E-08,,,,
74,-36.5,-6.99E-08,,,,
75,-37,-7.22E-08,,,,
76,-37.5,-7.81E-08,,,,
77,-38,-8.37E-08,,,,
78,-38.5,-8.95E-08,,,,
79,-39,-9.63E-08,,,,
80,-39.5,-1.05E-07,,,,
81,-40,-1.16E-07,,,,
82,-40.5,-1.27E-07,,,,
83,-41,-1.41E-07,,,,
84,-41.5,-1.57E-07,,,,
85,-42,-1.81E-07,,,,
86,-42.5,-2.08E-07,,,,
87,-43,-2.64E-07,,,,
88,-43.5,-4.22E-07,,,,
89,-44,-6.31E-07,,,,
90,-44.5,-8.07E-07,,,,
91,-45,-9.57E-07,,,,
92,-45.5,-1.05E-06,,,,
93,-46,-1.09E-06,,,,
94,-46.5,-1.11E-06,,,,
95,-47,-1.14E-06,,,,
96,-47.5,-1.16E-06,,,,
97,-48,-1.17E-06,,,,
98,-48.5,-1.20E-06,,,,
99,-49,-1.22E-06,,,,
100,-49.5,-1.23E-06,,,,
101,-50,-1.25E-06,,,,
102,-50.5,-1.27E-06,,,,
103,-51,-1.29E-06,,,,
104,-51.5,-1.31E-06,,,,
105,-52,-1.32E-06,,,,
106,-52.5,-1.33E-06,,,,
107,-53,-1.35E-06,,,,
108,-53.5,-1.36E-06,,,,
109,-54,-1.37E-06,,,,
110,-54.5,-1.39E-06,,,,
111,-55,-1.42E-06,,,,
112,-55.5,-1.45E-06,,,,
113,-56,-1.46E-06,,,,
114,-56.5,-1.50E-06,,,,
115,-57,-1.54E-06,,,,
116,-57.5,-1.57E-06,,,,
117,-58,-1.60E-06,,,,
118,-58.5,-1.66E-06,,,,
119,-59,-1.66E-06,,,,
120,-59.5,-1.70E-06,,,,
121,-60,-1.73E-06,,,,
122,-60.5,-1.76E-06,,,,
123,-61,-1.79E-06,,,,
124,-61.5,-1.80E-06,,,,
125,-62,-1.80E-06,,,,
126,-62.5,-1.82E-06,,,,
127,-63,-1.84E-06,,,,
128,-63.5,-1.85E-06,,,,
129,-64,-1.86E-06,,,,
130,-64.5,-1.88E-06,,,,
131,-65,-1.90E-06,,,,
132,-65.5,-1.91E-06,,,,
133,-66,-1.90E-06,,,,
134,-66.5,-1.92E-06,,,,
135,-67,-1.93E-06,,,,
136,-67.5,-1.94E-06,,,,
137,-68,-1.91E-06,,,,
138,-68.5,-1.95E-06,,,,
139,-69,-1.97E-06,,,,
140,-69.5,-1.98E-06,,,,
141,-70,-1.97E-06,,,,
142,-70.5,-1.97E-06,,,,
143,-71,-1.99E-06,,,,
144,-71.5,-1.97E-06,,,,
145,-72,-2.01E-06,,,,
146,-72.5,-1.99E-06,,,,
147,-73,-1.99E-06,,,,
148,-73.5,-1.99E-06,,,,
149,-74,-2.02E-06,,,,
150,-74.5,-2.02E-06,,,,
151,-75,-2.04E-06,,,,
152,-75.5,-2.05E-06,,,,
153,-76,-2.05E-06,,,,
154,-76.5,-2.06E-06,,,,
155,-77,-2.09E-06,,,,
156,-77.5,-2.07E-06,,,,
157,-78,-2.08E-06,,,,
158,-78.5,-2.10E-06,,,,
159,-79,-2.11E-06,,,,
160,-79.5,-2.12E-06,,,,
161,-80,-2.12E-06,,,,
162,-80.5,-2.16E-06,,,,
163,-81,-2.15E-06,,,,
164,-81.5,-2.16E-06,,,,
165,-82,-2.19E-06,,,,
166,-82.5,-2.19E-06,,,,
167,-83,-2.22E-06,,,,
168,-83.5,-2.19E-06,,,,
169,-84,-2.18E-06,,,,
170,-84.5,-2.21E-06,,,,
171,-85,-2.21E-06,,,,
172,-85.5,-2.20E-06,,,,
173,-86,-2.22E-06,,,,
174,-86.5,-2.25E-06,,,,
175,-87,-2.30E-06,,,,
176,-87.5,-2.32E-06,,,,
177,-88,-2.40E-06,,,,
178,-88.5,-2.42E-06,,,,
179,-89,-2.44E-06,,,,
180,-89.5,-2.49E-06,,,,
181,-90,-2.53E-06,,,,
182,-90.5,-2.59E-06,,,,
183,-91,-2.67E-06,,,,
184,-91.5,-2.79E-06,,,,
185,-92,-2.88E-06,,,,
186,-92.5,-2.99E-06,,,,
187,-93,-3.11E-06,,,,
188,-93.5,-3.24E-06,,,,
189,-94,-3.37E-06,,,,
190,-94.5,-3.50E-06,,,,
191,-95,-3.64E-06,,,,
192,-95.5,-3.76E-06,,,,
193,-96,-3.90E-06,,,,
194,-96.5,-4.06E-06,,,,
195,-97,-4.30E-06,,,,
196,-97.5,-4.95E-06,,,,
197,-98,-8.01E-06,,,,
198,-98.5,-7.91E-06,,,,
199,-99,-7.87E-06,,,,
200,-99.5,-7.69E-06,,,,
201,-100,-7.59E-06,,,,
