Diode Vf-If,,,,,,
VF=,0,to,-100,in,-0.5,step
67,-33,-5.95E-08,,,,
68,-33.5,-6.11E-08,,,,
69,-34,-6.39E-08,,,,
70,-34.5,-6.60E-08,,,,
71,-35,-6.94E-08,,,,
72,-35.5,-7.08E-08,,,,
73,-36,-7.47E-08,,,,
74,-36.5,-7.60E-08,,,,
75,-37,-7.96E-08,,,,
76,-37.5,-8.15E-08,,,,
77,-38,-8.40E-08,,,,
78,-38.5,-8.77E-08,,,,
79,-39,-9.25E-08,,,,
80,-39.5,-9.37E-08,,,,
81,-40,-9.81E-08,,,,
82,-40.5,-9.99E-08,,,,
83,-41,-1.02E-07,,,,
84,-41.5,-1.07E-07,,,,
85,-42,-1.15E-07,,,,
86,-42.5,-1.13E-07,,,,
87,-43,-1.19E-07,,,,
88,-43.5,-1.22E-07,,,,
89,-44,-1.26E-07,,,,
90,-44.5,-1.36E-07,,,,
91,-45,-1.39E-07,,,,
92,-45.5,-1.47E-07,,,,
93,-46,-1.61E-07,,,,
94,-46.5,-1.66E-07,,,,
95,-47,-1.68E-07,,,,
96,-47.5,-1.70E-07,,,,
97,-48,-1.76E-07,,,,
98,-48.5,-1.78E-07,,,,
99,-49,-1.84E-07,,,,
100,-49.5,-1.90E-07,,,,
101,-50,-1.99E-07,,,,
102,-50.5,-1.95E-07,,,,
103,-51,-2.06E-07,,,,
104,-51.5,-2.05E-07,,,,
105,-52,-2.12E-07,,,,
106,-52.5,-2.05E-07,,,,
107,-53,-2.07E-07,,,,
108,-53.5,-2.08E-07,,,,
109,-54,-2.12E-07,,,,
110,-54.5,-2.13E-07,,,,
111,-55,-2.13E-07,,,,
112,-55.5,-2.20E-07,,,,
113,-56,-2.18E-07,,,,
114,-56.5,-2.25E-07,,,,
115,-57,-2.27E-07,,,,
116,-57.5,-2.33E-07,,,,
117,-58,-2.37E-07,,,,
118,-58.5,-2.42E-07,,,,
119,-59,-2.41E-07,,,,
120,-59.5,-2.42E-07,,,,
121,-60,-2.42E-07,,,,
122,-60.5,-2.45E-07,,,,
123,-61,-2.56E-07,,,,
124,-61.5,-2.53E-07,,,,
125,-62,-2.54E-07,,,,
126,-62.5,-2.60E-07,,,,
127,-63,-2.62E-07,,,,
128,-63.5,-2.65E-07,,,,
129,-64,-2.70E-07,,,,
130,-64.5,-2.79E-07,,,,
131,-65,-2.82E-07,,,,
132,-65.5,-2.84E-07,,,,
133,-66,-2.94E-07,,,,
134,-66.5,-2.96E-07,,,,
135,-67,-3.04E-07,,,,
136,-67.5,-3.07E-07,,,,
137,-68,-3.13E-07,,,,
138,-68.5,-3.20E-07,,,,
139,-69,-3.18E-07,,,,
140,-69.5,-3.29E-07,,,,
141,-70,-3.30E-07,,,,
142,-70.5,-3.42E-07,,,,
143,-71,-3.44E-07,,,,
144,-71.5,-3.53E-07,,,,
145,-72,-3.61E-07,,,,
146,-72.5,-3.70E-07,,,,
147,-73,-3.81E-07,,,,
148,-73.5,-3.81E-07,,,,
149,-74,-3.94E-07,,,,
150,-74.5,-4.00E-07,,,,
151,-75,-4.11E-07,,,,
152,-75.5,-4.20E-07,,,,
153,-76,-4.25E-07,,,,
154,-76.5,-4.33E-07,,,,
155,-77,-4.40E-07,,,,
156,-77.5,-4.53E-07,,,,
157,-78,-4.61E-07,,,,
158,-78.5,-4.66E-07,,,,
159,-79,-4.83E-07,,,,
160,-79.5,-4.89E-07,,,,
161,-80,-5.04E-07,,,,
162,-80.5,-5.16E-07,,,,
163,-81,-5.30E-07,,,,
164,-81.5,-5.48E-07,,,,
165,-82,-5.67E-07,,,,
166,-82.5,-5.75E-07,,,,
167,-83,-5.95E-07,,,,
168,-83.5,-6.22E-07,,,,
169,-84,-6.36E-07,,,,
170,-84.5,-6.55E-07,,,,
171,-85,-6.84E-07,,,,
172,-85.5,-7.13E-07,,,,
173,-86,-7.33E-07,,,,
174,-86.5,-7.71E-07,,,,
175,-87,-8.02E-07,,,,
176,-87.5,-8.26E-07,,,,
177,-88,-8.65E-07,,,,
178,-88.5,-9.21E-07,,,,
179,-89,-9.94E-07,,,,
180,-89.5,-1.06E-06,,,,
181,-90,-1.06E-06,,,,
182,-90.5,-1.08E-06,,,,
183,-91,-1.10E-06,,,,
184,-91.5,-1.12E-06,,,,
185,-92,-1.15E-06,,,,
186,-92.5,-1.15E-06,,,,
187,-93,-1.18E-06,,,,
188,-93.5,-1.21E-06,,,,
189,-94,-1.25E-06,,,,
190,-94.5,-1.28E-06,,,,
191,-95,-1.30E-06,,,,
192,-95.5,-1.34E-06,,,,
193,-96,-1.37E-06,,,,
194,-96.5,-1.43E-06,,,,
195,-97,-1.47E-06,,,,
196,-97.5,-1.53E-06,,,,
197,-98,-1.59E-06,,,,
198,-98.5,-1.65E-06,,,,
199,-99,-1.68E-06,,,,
200,-99.5,-1.75E-06,,,,
201,-100,-1.80E-06,,,,
