Diode Vf-If,,,,,,
VF=,0,to,-100,in,-0.5,step
67,-33,-3.66E-08,,,,
68,-33.5,-3.85E-08,,,,
69,-34,-3.96E-08,,,,
70,-34.5,-4.12E-08,,,,
71,-35,-4.49E-08,,,,
72,-35.5,-4.64E-08,,,,
73,-36,-5.07E-08,,,,
74,-36.5,-5.33E-08,,,,
75,-37,-5.81E-08,,,,
76,-37.5,-6.23E-08,,,,
77,-38,-6.75E-08,,,,
78,-38.5,-7.60E-08,,,,
79,-39,-8.60E-08,,,,
80,-39.5,-1.01E-07,,,,
81,-40,-1.15E-07,,,,
82,-40.5,-1.35E-07,,,,
83,-41,-1.55E-07,,,,
84,-41.5,-1.83E-07,,,,
85,-42,-2.25E-07,,,,
86,-42.5,-2.70E-07,,,,
87,-43,-3.25E-07,,,,
88,-43.5,-4.17E-07,,,,
89,-44,-5.68E-07,,,,
90,-44.5,-1.72E-06,,,,
91,-45,-1.78E-06,,,,
92,-45.5,-1.83E-06,,,,
93,-46,-1.90E-06,,,,
94,-46.5,-1.99E-06,,,,
95,-47,-2.05E-06,,,,
96,-47.5,-2.09E-06,,,,
97,-48,-2.13E-06,,,,
98,-48.5,-2.19E-06,,,,
99,-49,-2.22E-06,,,,
100,-49.5,-2.25E-06,,,,
101,-50,-2.22E-06,,,,
102,-50.5,-2.24E-06,,,,
103,-51,-2.29E-06,,,,
104,-51.5,-2.29E-06,,,,
105,-52,-2.30E-06,,,,
106,-52.5,-2.33E-06,,,,
107,-53,-2.32E-06,,,,
108,-53.5,-2.29E-06,,,,
109,-54,-2.28E-06,,,,
110,-54.5,-2.27E-06,,,,
111,-55,-2.25E-06,,,,
112,-55.5,-2.23E-06,,,,
113,-56,-2.24E-06,,,,
114,-56.5,-2.22E-06,,,,
115,-57,-2.22E-06,,,,
116,-57.5,-2.25E-06,,,,
117,-58,-2.23E-06,,,,
118,-58.5,-2.25E-06,,,,
119,-59,-2.23E-06,,,,
120,-59.5,-2.23E-06,,,,
121,-60,-2.22E-06,,,,
122,-60.5,-2.24E-06,,,,
123,-61,-2.22E-06,,,,
124,-61.5,-2.23E-06,,,,
125,-62,-2.25E-06,,,,
126,-62.5,-2.25E-06,,,,
127,-63,-2.28E-06,,,,
128,-63.5,-2.43E-06,,,,
129,-64,-3.47E-06,,,,
130,-64.5,-4.42E-06,,,,
131,-65,-4.38E-06,,,,
132,-65.5,-4.26E-06,,,,
133,-66,-4.14E-06,,,,
134,-66.5,-4.08E-06,,,,
135,-67,-4.07E-06,,,,
136,-67.5,-3.95E-06,,,,
137,-68,-3.99E-06,,,,
138,-68.5,-3.90E-06,,,,
139,-69,-3.93E-06,,,,
140,-69.5,-3.91E-06,,,,
141,-70,-3.89E-06,,,,
142,-70.5,-3.84E-06,,,,
143,-71,-3.80E-06,,,,
144,-71.5,-3.79E-06,,,,
145,-72,-3.81E-06,,,,
146,-72.5,-3.77E-06,,,,
147,-73,-3.78E-06,,,,
148,-73.5,-3.81E-06,,,,
149,-74,-3.74E-06,,,,
150,-74.5,-3.74E-06,,,,
151,-75,-3.74E-06,,,,
152,-75.5,-3.75E-06,,,,
153,-76,-3.73E-06,,,,
154,-76.5,-3.72E-06,,,,
155,-77,-3.68E-06,,,,
156,-77.5,-3.70E-06,,,,
157,-78,-3.71E-06,,,,
158,-78.5,-3.69E-06,,,,
159,-79,-3.71E-06,,,,
160,-79.5,-3.73E-06,,,,
161,-80,-3.74E-06,,,,
162,-80.5,-3.74E-06,,,,
163,-81,-3.72E-06,,,,
164,-81.5,-3.70E-06,,,,
165,-82,-3.69E-06,,,,
166,-82.5,-3.71E-06,,,,
167,-83,-3.69E-06,,,,
168,-83.5,-3.68E-06,,,,
169,-84,-3.76E-06,,,,
170,-84.5,-3.65E-06,,,,
171,-85,-3.66E-06,,,,
172,-85.5,-3.69E-06,,,,
173,-86,-3.74E-06,,,,
174,-86.5,-3.74E-06,,,,
175,-87,-3.77E-06,,,,
176,-87.5,-3.80E-06,,,,
177,-88,-3.78E-06,,,,
178,-88.5,-3.79E-06,,,,
179,-89,-3.80E-06,,,,
180,-89.5,-3.80E-06,,,,
181,-90,-3.76E-06,,,,
182,-90.5,-3.78E-06,,,,
183,-91,-3.81E-06,,,,
184,-91.5,-3.83E-06,,,,
185,-92,-3.83E-06,,,,
186,-92.5,-3.94E-06,,,,
187,-93,-4.32E-06,,,,
188,-93.5,-4.57E-06,,,,
189,-94,-4.70E-06,,,,
190,-94.5,-4.81E-06,,,,
191,-95,-4.97E-06,,,,
192,-95.5,-5.18E-06,,,,
193,-96,-5.35E-06,,,,
194,-96.5,-5.61E-06,,,,
195,-97,-5.85E-06,,,,
196,-97.5,-6.07E-06,,,,
197,-98,-6.24E-06,,,,
198,-98.5,-6.45E-06,,,,
199,-99,-6.65E-06,,,,
200,-99.5,-6.84E-06,,,,
201,-100,-7.04E-06,,,,
